Location,Name,Holes,TeeName,Par,ScratchRating,Slope
Western Australia,Albany Golf Club ,18,Red Women,72,74,122
Western Australia,Albany Golf Club ,18,Blue Men,72,73,122
Western Australia,Albany Golf Club ,18,White Men,72,70,116
Western Australia,Albany Golf Club ,10-18,White Men,36,35,115
Western Australia,Albany Golf Club ,1-9,Red Women,36,36.5,122
Western Australia,Albany Golf Club ,10-18,Red Women,36,37,122
Western Australia,Albany Golf Club ,1-9,Blue Men,36,36,119
Western Australia,Albany Golf Club ,10-18,Blue Men,36,36.5,124
Western Australia,Albany Golf Club ,1-9,White Men,36,35,117
Western Australia,Altone Park Golf Club ,18,Men Blue,70,68,118
Western Australia,Altone Park Golf Club ,18,Women Red,70,69,122
Western Australia,Altone Park Golf Club ,10-18,Women Red,35,34.5,121
Western Australia,Altone Park Golf Club ,1-9,Men Blue,35,34,119
Western Australia,Altone Park Golf Club ,10-18,Men Blue,35,34,116
Western Australia,Altone Park Golf Club ,1-9,Women Red,35,34.5,122
Western Australia,Araluen Country Club ,18,Red Women,72,72,126
Western Australia,Araluen Country Club ,18,Blue Men,72,73,126
Western Australia,Araluen Country Club ,18,White Men,72,71,124
Western Australia,Araluen Country Club ,18,Yellow Men,72,67,118
Western Australia,Araluen Country Club ,18,Yellow Women,72,75,130
Western Australia,Araluen Country Club ,10-18,Blue Men,36,36,126
Western Australia,Araluen Country Club ,1-9,White Men,36,35.5,125
Western Australia,Araluen Country Club ,10-18,White Men,36,35,122
Western Australia,Araluen Country Club ,1-9,Yellow Men,36,34,117
Western Australia,Araluen Country Club ,10-18,Yellow Men,36,33.5,118
Western Australia,Araluen Country Club ,1-9,Red Women,36,36.5,126
Western Australia,Araluen Country Club ,10-18,Red Women,36,36.5,126
Western Australia,Araluen Country Club ,1-9,Yellow Women,36,37.5,127
Western Australia,Araluen Country Club ,10-18,Yellow Women,36,38,133
Western Australia,Araluen Country Club ,1-9,Blue Men,36,37,125
Western Australia,Ardath Golf Club ,18,Red Women,72,70,107
Western Australia,Ardath Golf Club ,18,Blue Men,72,68,102
Western Australia,Ardath Golf Club ,1-9,Blue Men,36,34.5,100
Western Australia,Ardath Golf Club ,10-18,Blue Men,36,33.5,103
Western Australia,Ardath Golf Club ,1-9,Red Women,36,35.5,107
Western Australia,Ardath Golf Club ,10-18,Red Women,36,34.5,107
Western Australia,Armadale Public Golf Course ,18,Red/White Women,68,69,118
Western Australia,Armadale Public Golf Course ,18,White/Blue Men,68,66,108
Western Australia,Armadale Public Golf Course ,18,Blue/Black Men,68,67,108
Western Australia,Armadale Public Golf Course ,1-9,White/Blue Men,34,33,108
Western Australia,Armadale Public Golf Course ,10-18,White/Blue Men,34,33.5,108
Western Australia,Armadale Public Golf Course ,1-9,Red/White Women,34,33.5,115
Western Australia,Armadale Public Golf Course ,10-18,Red/White Women,34,35,121
Western Australia,Armadale Public Golf Course ,1-9,Blue/Black Men,34,33.5,108
Western Australia,Armadale Public Golf Course ,10-18,Blue/Black Men,34,33.5,108
Western Australia,Augusta Golf Club ,18,Red Women,72,71,112
Western Australia,Augusta Golf Club ,18,Blue Men,72,70,113
Western Australia,Augusta Golf Club ,10-18,Red Women,36,34.5,105
Western Australia,Augusta Golf Club ,1-9,Blue Men,36,35,109
Western Australia,Augusta Golf Club ,10-18,Blue Men,36,35,116
Western Australia,Augusta Golf Club ,1-9,Red Women,36,36,118
Western Australia,Baandee Golf Club ,18,Red Women,72,71,105
Western Australia,Baandee Golf Club ,18,Blue Men,72,71,107
Western Australia,Baandee Golf Club ,1-9,Blue Men,36,35.5,108
Western Australia,Baandee Golf Club ,10-18,Blue Men,36,35,105
Western Australia,Baandee Golf Club ,1-9,Red Women,36,35.5,103
Western Australia,Baandee Golf Club ,10-18,Red Women,36,35.5,107
Western Australia,Badgingarra Golf Club ,18,Red Women,72,70,110
Western Australia,Badgingarra Golf Club ,18,Blue Men,73,70,110
Western Australia,Badgingarra Golf Club ,1-9,Blue Men,37,36,117
Western Australia,Badgingarra Golf Club ,10-18,Blue Men,36,34,102
Western Australia,Badgingarra Golf Club ,1-9,Red Women,37,36,116
Western Australia,Badgingarra Golf Club ,10-18,Red Women,35,34,103
Western Australia,Bakers Hill Golf Club ,18,Blue Men,71,67,106
Western Australia,Bakers Hill Golf Club ,18,White Men,71,65,100
Western Australia,Bakers Hill Golf Club ,18,Red Women,72,70,105
Western Australia,Bakers Hill Golf Club ,10-18,White Men,35,32.5,100
Western Australia,Bakers Hill Golf Club ,1-9,Red Women,36,35,105
Western Australia,Bakers Hill Golf Club ,10-18,Red Women,36,35,105
Western Australia,Bakers Hill Golf Club ,1-9,Blue Men,36,34,109
Western Australia,Bakers Hill Golf Club ,10-18,Blue Men,35,33.5,103
Western Australia,Bakers Hill Golf Club ,1-9,White Men,36,32.5,100
Western Australia,Balingup Golf Club ,18,Red Women,71,69,103
Western Australia,Balingup Golf Club ,18,Blue Men,72,68,103
Western Australia,Balingup Golf Club ,1-9,Blue Men,36,33.5,103
Western Australia,Balingup Golf Club ,10-18,Blue Men,35,34,103
Western Australia,Balingup Golf Club ,1-9,Red Women,35,34.5,103
Western Australia,Balingup Golf Club ,10-18,Red Women,36,34.5,103
Western Australia,Ballidu Golf Club ,18,Red Women,72,70,107
Western Australia,Ballidu Golf Club ,18,Blue Men,72,69,110
Western Australia,Ballidu Golf Club ,1-9,Blue Men,36,35,108
Western Australia,Ballidu Golf Club ,10-18,Blue Men,36,34.5,111
Western Australia,Ballidu Golf Club ,1-9,Red Women,36,35.5,106
Western Australia,Ballidu Golf Club ,10-18,Red Women,36,34.5,108
Western Australia,Bencubbin Golf Club ,18,Red Women,72,69,106
Western Australia,Bencubbin Golf Club ,18,Blue Men,70,67,100
Western Australia,Bencubbin Golf Club ,1-9,Blue Men,35,33.5,100
Western Australia,Bencubbin Golf Club ,10-18,Blue Men,35,33.5,100
Western Australia,Bencubbin Golf Club ,1-9,Red Women,36,34.5,104
Western Australia,Bencubbin Golf Club ,10-18,Red Women,36,35,107
Western Australia,Beverley Golf Club ,18,Red Women,72,71,108
Western Australia,Beverley Golf Club ,18,Blue Men,72,71,114
Western Australia,Beverley Golf Club ,1-9,Blue Men,36,35.5,113
Western Australia,Beverley Golf Club ,10-18,Blue Men,36,35,114
Western Australia,Beverley Golf Club ,1-9,Red Women,36,35.5,109
Western Australia,Beverley Golf Club ,10-18,Red Women,36,35,107
Western Australia,Binningup Golf Club ,18,Blue Men,72,72,132
Western Australia,Binningup Golf Club ,18,Red Women,72,75,131
Western Australia,Binningup Golf Club ,1-9,Blue Men,36,36,132
Western Australia,Binningup Golf Club ,10-18,Blue Men,36,36,132
Western Australia,Binningup Golf Club ,1-9,Red Women,36,38,129
Western Australia,Binningup Golf Club ,10-18,Red Women,36,37,132
Western Australia,Binnu Golf Club ,18,Red Women,72,69,104
Western Australia,Binnu Golf Club ,18,Blue Men,72,67,102
Western Australia,Binnu Golf Club ,1-9,Blue Men,36,33.5,101
Western Australia,Binnu Golf Club ,10-18,Blue Men,36,33.5,103
Western Australia,Binnu Golf Club ,1-9,Red Women,36,34.5,104
Western Australia,Binnu Golf Club ,10-18,Red Women,36,34.5,103
Western Australia,Boddington Golf Club ,18,Red Women,72,70,106
Western Australia,Boddington Golf Club ,18,Blue Men,72,69,108
Western Australia,Boddington Golf Club ,1-9,Blue Men,36,34.5,109
Western Australia,Boddington Golf Club ,10-18,Blue Men,36,34.5,107
Western Australia,Boddington Golf Club ,1-9,Red Women,36,35,108
Western Australia,Boddington Golf Club ,10-18,Red Women,36,35,104
Western Australia,Bolgart Golf Club ,18,Red Women,71,70,106
Western Australia,Bolgart Golf Club ,18,Blue Men,70,66,108
Western Australia,Bolgart Golf Club ,1-9,Blue Men,34,33,100
Western Australia,Bolgart Golf Club ,10-18,Blue Men,36,33.5,115
Western Australia,Bolgart Golf Club ,1-9,Red Women,35,34,103
Western Australia,Bolgart Golf Club ,10-18,Red Women,36,36,109
Western Australia,Boolbardie Country Club ,18,Red Women,72,70,110
Western Australia,Boolbardie Country Club ,18,Blue Men,72,68,107
Western Australia,Boolbardie Country Club ,1-9,Blue Men,36,34,105
Western Australia,Boolbardie Country Club ,10-18,Blue Men,36,34.5,108
Western Australia,Boolbardie Country Club ,1-9,Red Women,36,35.5,110
Western Australia,Boolbardie Country Club ,10-18,Red Women,36,35,110
Western Australia,Borden Golf Club ,18,Red Women,72,71,110
Western Australia,Borden Golf Club ,18,Blue Men,71,68,106
Western Australia,Borden Golf Club ,1-9,Blue Men,36,34.5,103
Western Australia,Borden Golf Club ,10-18,Blue Men,35,33.5,108
Western Australia,Borden Golf Club ,1-9,Red Women,36,35.5,110
Western Australia,Borden Golf Club ,10-18,Red Women,36,35.5,109
Western Australia,Boyup Brook Golf Club ,18,Red Women,72,71,111
Western Australia,Boyup Brook Golf Club ,18,Blue Men,72,69,107
Western Australia,Boyup Brook Golf Club ,1-9,Blue Men,36,34,109
Western Australia,Boyup Brook Golf Club ,10-18,Blue Men,36,35,105
Western Australia,Boyup Brook Golf Club ,1-9,Red Women,36,35,112
Western Australia,Boyup Brook Golf Club ,10-18,Red Women,36,35.5,109
Western Australia,Bremer Bay Golf Club ,18,Red Women,72,70,109
Western Australia,Bremer Bay Golf Club ,18,Blue Men,72,70,108
Western Australia,Bremer Bay Golf Club ,1-9,Blue Men,36,35,111
Western Australia,Bremer Bay Golf Club ,10-18,Blue Men,36,34.5,105
Western Australia,Bremer Bay Golf Club ,1-9,Red Women,36,35,109
Western Australia,Bremer Bay Golf Club ,10-18,Red Women,36,34.5,108
Western Australia,Bridgetown Golf Club ,18,Red Women,72,71,106
Western Australia,Bridgetown Golf Club ,18,Blue Men,72,69,109
Western Australia,Bridgetown Golf Club ,10-18,Red Women,36,35,103
Western Australia,Bridgetown Golf Club ,1-9,Blue Men,36,34.5,107
Western Australia,Bridgetown Golf Club ,10-18,Blue Men,36,34.5,110
Western Australia,Bridgetown Golf Club ,1-9,Red Women,36,36.5,109
Western Australia,Brookton Country Club ,18,Red Women,70,69,106
Western Australia,Brookton Country Club ,18,Blue Men,70,68,108
